sku,invoice_number,invoice_date_parsed,item_number,item_title,category,qty,bid_amount,msrp,bid_to_msrp_ratio,discount_pct,line_cost,projected_sale_price_per_unit,projected_revenue,projected_profit
SKU0287,081624-3501-184997,2024-08-16,394,Light Society Montreal Oil Rubbed Bronze Wall Sconce with,Lighting & Electrical,1.0,2.0,27.4,0.07299270072992702,0.927007299270073,2.0,19.179999999999996,19.179999999999996,17.179999999999996
SKU0288,081624-3501-184997,2024-08-16,397,Intel/Shade Honeycomb Blind,Window Treatments,1.0,5.0,,,,5.0,7.5,7.5,2.5
SKU0289,081624-3501-184997,2024-08-16,411,"White Matte Peel and Stick Wallpaper, Self-Adhesive",Bedding & Textiles,1.0,7.0,39.99,0.17504376094023505,0.8249562390597649,7.0,27.993,27.993,20.993
SKU0290,081624-3501-184997,2024-08-16,422,Black Wall Mounted Mirror,Home Decor,1.0,5.0,,,,5.0,7.5,7.5,2.5
SKU0291,081624-3501-184997,2024-08-16,427,RIVER OF GOODS 52 Inch LED Modern Farmhouse Ceiling,Miscellaneous,1.0,24.01,189.99,0.1263750723722301,0.8736249276277699,24.01,132.993,132.993,108.98299999999999
SKU0292,081624-3501-184997,2024-08-16,431,Vessel Sink,Miscellaneous,1.0,9.0,,,,9.0,13.5,13.5,4.5
SKU0293,081624-3501-184997,2024-08-16,447,Eridanus Denbigh 19 in. x 14 in. Modern Crisp White,Miscellaneous,1.0,10.0,65.64,0.15234613040828762,0.8476538695917124,10.0,45.948,45.948,35.948
SKU0294,081624-3501-184997,2024-08-16,452,JXCRAFT Car Floor Mats,Automotive,1.0,5.0,,,,5.0,7.5,7.5,2.5
SKU0295,081624-3501-184997,2024-08-16,465,"Set of 2 Modern LED Picture Lights 24.4 inch, Antique",Lighting & Electrical,1.0,10.0,137.76,0.07259001161440186,0.9274099883855982,10.0,96.43199999999999,96.43199999999999,86.43199999999999
SKU0296,081624-3501-184997,2024-08-16,482,DANSEER Lighting Modern Crystal Ceiling Light Fixture with,Lighting & Electrical,1.0,2.0,159.0,0.012578616352201259,0.9874213836477987,2.0,111.3,111.3,109.3
SKU0297,081624-3501-184997,2024-08-16,485,Hand Cart,Miscellaneous,1.0,10.0,,,,10.0,15.0,15.0,5.0
SKU0298,081624-3501-184997,2024-08-16,498,BENOSS Vacuum Stand Stable Metal Bracket Stand Holder,Furniture,1.0,3.01,46.99,0.06405618216641838,0.9359438178335816,3.01,32.893,32.893,29.883000000000003
SKU0299,081624-3501-184997,2024-08-16,522,"miliboo Heavy Duty Tripod for Camera,Video Tripod with",Tools & Hardware,1.0,29.87,349.0,0.08558739255014326,0.9144126074498568,29.87,244.29999999999998,244.29999999999998,214.42999999999998
SKU0300,081624-3501-184997,2024-08-16,523,CXWXC Bike Repair Stand -Shop Home Bicycle Mechanic,Tools & Hardware,1.0,14.0,96.99,0.14434477781214558,0.8556552221878544,14.0,67.89299999999999,67.89299999999999,53.89299999999999
SKU0301,081624-3501-184997,2024-08-16,531,"Lusper Weight Bench for Home Gym, Adjustable and",Furniture,1.0,10.0,69.99,0.14287755393627663,0.8571224460637233,10.0,48.992999999999995,48.992999999999995,38.992999999999995
SKU0275,082324-3501-186170,2024-08-23,350,Bamboo Floating Nightstand with Drawer & Open Shelf -,Furniture,1.0,25.0,77.99,0.32055391716886783,0.6794460828311322,25.0,54.592999999999996,54.592999999999996,29.592999999999996
SKU0276,082324-3501-186170,2024-08-23,436,Pet Ramp for Dogs and Cats,Pet Supplies,1.0,8.0,,,,8.0,12.0,12.0,4.0
SKU0277,082324-3501-186170,2024-08-23,548,Boho Patio Umbrella with Fringe Outdoor Small Table Market,Furniture,1.0,14.0,79.99,0.17502187773471686,0.8249781222652831,14.0,55.992999999999995,55.992999999999995,41.992999999999995
SKU0278,082324-3501-186170,2024-08-23,552,PetThem Dog Ramp for Car -PetThem Folding Pet Steps for,Pet Supplies,1.0,7.5,99.98,0.07501500300060011,0.9249849969993998,7.5,69.986,69.986,62.486000000000004
SKU0279,082324-3501-186170,2024-08-23,573,Foho Vacuum Stand,Miscellaneous,1.0,1.0,42.99,0.02326122354035822,0.9767387764596418,1.0,30.093,30.093,29.093
SKU0271,082824-3501-186858,2024-08-28,115,"6-Light Orb Chandelier, Black Globe Pendant Light Fixtures,",Lighting & Electrical,1.0,10.0,109.99,0.09091735612328394,0.9090826438767161,10.0,76.993,76.993,66.993
SKU0272,082824-3501-186858,2024-08-28,147,Dayao Toilet Seat,Miscellaneous,1.0,2.0,,,,2.0,3.0,3.0,1.0
SKU0273,082824-3501-186858,2024-08-28,152,Deynite Industrial Pendant Light Fixtures Black Schoolhouse,Lighting & Electrical,1.0,3.0,119.0,0.025210084033613446,0.9747899159663865,3.0,83.3,83.3,80.3
SKU0274,082824-3501-186858,2024-08-28,260,"1 Inch Modern Double Window Curtain Rods,72-144 Inch",Bedding & Textiles,1.0,2.0,45.99,0.04348771472059143,0.9565122852794086,2.0,32.193,32.193,30.192999999999998
SKU0268,082824-3501-186858,2024-08-28,54,Suzzipaws Enclosed Stainless Steel Cat Litter Box Extra,Pet Supplies,1.0,36.0,129.99,0.27694438033694896,0.7230556196630511,36.0,90.993,90.993,54.992999999999995
SKU0269,082824-3501-186858,2024-08-28,59,"MODE Farmhouse Collection 1 1/8"" Diameter Curtain Rod Set",Bedding & Textiles,1.0,6.0,47.99,0.1250260470931444,0.8749739529068556,6.0,33.592999999999996,33.592999999999996,27.592999999999996
SKU0270,082824-3501-186858,2024-08-28,70,Easy-Going 3 Pieces Stretch Soft Couch Cover for Dogs -,Pet Supplies,1.0,7.0,38.99,0.17953321364452424,0.8204667863554758,7.0,27.293,27.293,20.293
SKU0251,090424-3501-187761,2024-09-04,100,10ft x 10ft Square Backdrop Stand,Miscellaneous,1.0,10.0,,,,10.0,15.0,15.0,5.0
SKU0252,090424-3501-187761,2024-09-04,110,"Wake In Cloud - Plaid Pillow Cases, 100% Washed Cotton,",Bedding & Textiles,1.0,6.0,17.99,0.3335186214563647,0.6664813785436353,6.0,12.592999999999998,12.592999999999998,6.592999999999998
SKU0253,090424-3501-187761,2024-09-04,122,Queen Size Mattress Pad,Bedding & Textiles,1.0,9.0,,,,9.0,13.5,13.5,4.5
SKU0254,090424-3501-187761,2024-09-04,141,"TONOR Bilayer Acoustic Panels Large Self-adhesive,",Miscellaneous,1.0,4.0,112.99,0.035401362952473675,0.9645986370475264,4.0,79.09299999999999,79.09299999999999,75.09299999999999
SKU0255,090424-3501-187761,2024-09-04,151,"C Sofa Side End Table, TV Tray Table, C Shaped Snack",Furniture,1.0,11.0,29.95,0.36727879799666113,0.6327212020033388,11.0,20.965,20.965,9.965
SKU0256,090424-3501-187761,2024-09-04,175,T8 LED Tube Light with R17D Rotatable Base,Lighting & Electrical,1.0,5.0,,,,5.0,7.5,7.5,2.5
SKU0257,090424-3501-187761,2024-09-04,179,No Tools - No Drill Cordless Mini Blinds,Tools & Hardware,1.0,1.0,,,,1.0,1.5,1.5,0.5
SKU0245,090424-3501-187761,2024-09-04,18,Precedent LED Light Kit,Lighting & Electrical,1.0,5.0,,,,5.0,7.5,7.5,2.5
SKU0258,090424-3501-187761,2024-09-04,183,"FITUEYES Black Floating TV Stand Wall Mounted, Floating",Electronics & Small Appliances,1.0,4.0,69.99,0.05715102157451065,0.9428489784254893,4.0,48.992999999999995,48.992999999999995,44.992999999999995
SKU0259,090424-3501-187761,2024-09-04,194,A-Premium Front Hood Lift Supports Shock Struts,Miscellaneous,1.0,3.0,18.99,0.1579778830963665,0.8420221169036335,3.0,13.292999999999997,13.292999999999997,10.292999999999997
SKU0260,090424-3501-187761,2024-09-04,210,A-Premium Mystery Car Accessory for Front Right,Miscellaneous,1.0,1.0,,,,1.0,1.5,1.5,0.5
SKU0261,090424-3501-187761,2024-09-04,223,Pendant Light,Lighting & Electrical,1.0,1.0,,,,1.0,1.5,1.5,0.5
SKU0262,090424-3501-187761,2024-09-04,232,"Depuley Modern Ceiling Fan No Light with Remote,",Lighting & Electrical,1.0,10.0,179.99,0.05555864214678593,0.944441357853214,10.0,125.993,125.993,115.993
SKU0263,090424-3501-187761,2024-09-04,260,RGB No Wiring Required Battery-Powered Wall Light,Lighting & Electrical,1.0,10.0,,,,10.0,15.0,15.0,5.0
SKU0264,090424-3501-187761,2024-09-04,276,"Lotus & Windoware Cordless, 2 Inch Faux Wood Blind, 34""",Window Treatments,1.0,4.0,45.99,0.08697542944118286,0.9130245705588171,4.0,32.193,32.193,28.192999999999998
SKU0265,090424-3501-187761,2024-09-04,278,SaniteModar Linear Shower Drain,Miscellaneous,1.0,1.0,,,,1.0,1.5,1.5,0.5
SKU0266,090424-3501-187761,2024-09-04,286,Auto Ventshade [AVS] Outside Mount Ventvisor / Rain,Automotive,1.0,1.0,68.67,0.0145623998835008,0.9854376001164992,1.0,48.068999999999996,48.068999999999996,47.068999999999996
SKU0267,090424-3501-187761,2024-09-04,293,"Bike Trainer, Magnetic Bicycle Stationary Stand for Indoor",Miscellaneous,1.0,10.99,119.98,0.09159859976662776,0.9084014002333722,10.99,83.986,83.986,72.99600000000001
SKU0246,090424-3501-187761,2024-09-04,58,Outdoor Roller Shade,Window Treatments,1.0,7.0,,,,7.0,10.5,10.5,3.5
SKU0247,090424-3501-187761,2024-09-04,70,27-Inch 1080P Portable TouchScreen Monitor Smart Rolling,Furniture,1.0,111.0,599.0,0.18530884808013356,0.8146911519198664,111.0,419.29999999999995,419.29999999999995,308.29999999999995
SKU0248,090424-3501-187761,2024-09-04,80,LED Ceiling Spotlight Dimmable12W 3CCT,Lighting & Electrical,1.0,3.0,28.99,0.10348395998620215,0.8965160400137978,3.0,20.293,20.293,17.293
SKU0249,090424-3501-187761,2024-09-04,94,Kipika Heavy Duty Ceiling Mounted Pull-up Bar Workout,Miscellaneous,1.0,5.0,,,,5.0,7.5,7.5,2.5
SKU0250,090424-3501-187761,2024-09-04,99,Souart Bathroom Vanity Lights,Lighting & Electrical,1.0,5.0,98.8,0.05060728744939271,0.9493927125506073,5.0,69.16,69.16,64.16
